,r_p_diff,score,sd1,sd2,sd1/sd2,beats_per_sec,label,dom_freq
0,1,0.974358974,38.20500218,30.65918101,1.246119463,1.333333333,N,2.7
1,0,1,7.075034751,25.29249362,0.279728636,1.166666667,N,3.566666667
2,2,0.848484848,25.3121785,62.26270055,0.406538397,1.133333333,N,1.2
3,3,1,12.43014334,27.49990136,0.452006834,1.133333333,N,1.2
4,0,1,11.06606111,21.84152228,0.506652466,1.2,N,1.266666667
5,1,1,8.767596495,27.65629672,0.317019903,1.233333333,N,0.633333333
6,0,0.820512821,57.29178314,87.11952852,0.657622741,1.333333333,N,1.333333333
7,10,0.806451613,16.48044108,56.29200763,0.29276698,1.066666667,N,1.1
8,1,0.620689655,37.56504186,92.95488598,0.404121219,1,N,3.066666667
9,1,1,3.425207677,13.47340408,0.254219918,1.366666667,N,4.266666667
10,11,0.947368421,71.51399926,91.35423881,0.78282081,1.3,N,1.1
11,4,0.625,24.82334394,115.413216,0.215082335,1.1,N,0.733333333
12,5,0.531914894,119.6741818,132.2832091,0.904681574,1.6,A,1.733333333
13,0,0.935483871,14.24130664,42.25729537,0.337014154,1.066666667,N,1.133333333
14,11,0.955555556,69.87795589,47.18435188,1.480956145,1.533333333,N,0.7
15,8,0.575757576,82.82969554,158.1105718,0.523871963,1.133333333,N,1.233333333
16,0,0.9,115.0144028,121.5031696,0.946595906,1.033333333,N,1.1
17,1,1,5.077728582,9.397381943,0.540334384,1.1,N,1.166666667
18,3,0.75,14.89842661,44.91333591,0.331714986,0.966666667,N,0.966666667
19,0,0.741935484,34.99700164,82.18858171,0.425813427,1.066666667,N,1.1
20,0,1,3.66527178,9.875198835,0.371159289,1.159090909,N,1.181818182
21,1,0.421052632,223.8944287,186.089428,1.203155016,1.073788546,A,3.13876652
22,1,0.657142857,83.88276201,134.1482629,0.625298906,1.2,N,1.066666667
23,0,0.034482759,148.7810449,235.1898326,0.632599816,1.069391635,N,0.998098859
24,1,0.407407407,113.5957124,185.8206075,0.611319239,0.933333333,N,0.933333333
25,9,0.727272727,100.800921,64.62424848,1.559800282,1.5,A,1.6
26,0,0.558823529,65.36446289,87.94465197,0.743245455,1.166666667,A,4.4
27,0,1,15.51369083,27.78123561,0.558423356,1.174564601,N,3.604698258
28,1,0.948717949,13.35236407,67.60330034,0.197510536,1.333333333,N,1.3
29,0,0.8125,66.31732961,54.20976033,1.223346667,1.1,N,2.3
30,0,1,17.16333143,25.52495963,0.672413656,1.433333333,N,4.433333333
31,1,1,13.03250647,19.00338007,0.685799391,1.1,N,1.133333333
32,5,0.225,207.6252465,135.1042136,1.536778469,1.35,A,0.766666667
33,3,0.384615385,182.4846782,175.7498222,1.038320699,1.329176239,A,3.495241221
34,2,0.580645161,308.7473797,553.0215599,0.558291759,1.066666667,N,0.833333333
35,18,0.941176471,87.61638983,86.34540132,1.014719817,2.3,A,2.6
36,0,0.851851852,33.67343752,58.04939349,0.580082504,0.933333333,N,3.966666667
37,1,0,2.838231061,5.296749527,0.535843926,1.271186441,N,1.165254237
38,0,0.911764706,12.86997123,44.08231719,0.291953147,1.166666667,N,1.2
39,0,1,8.342330534,18.37945471,0.453894344,1.266666667,N,3.933333333
40,0,1,23.56155743,43.71428539,0.53898988,1.016666667,N,2.05
41,1,0.923076923,51.69313205,64.31688177,0.803725719,1.333333333,N,0.7
42,0,1,14.05218914,29.58159178,0.475031541,1.035322777,N,1.07592367
43,0,1,11.36671432,14.38013517,0.790445583,1.433333333,N,4.433333333
44,1,0.647058824,118.0402329,133.5332905,0.883976066,1.166666667,N,2.3
45,0,0.472222222,183.8472204,157.3703404,1.168245681,1.233333333,A,2.566666667
46,0,1,7.077196848,16.49197382,0.429129765,1.1,N,1.166666667
47,1,0.951219512,13.3696121,33.14483159,0.403369438,1.4,N,0.866666667
48,0,0.648648649,31.92444355,110.6608934,0.288488937,1.266666667,N,1.266666667
49,0,1,16.80415026,28.49949238,0.589629809,1.1,N,1.133333333
50,2,1,6.864869757,9.327357806,0.735992968,1.033333333,N,1.066666667
51,1,0.910447761,22.46822059,67.8084803,0.33134824,1.133333333,N,1.15
52,0,0.918918919,11.37853338,41.73507758,0.272637169,1.185031185,N,3.711018711
53,0,0.666666667,28.73862053,87.90684064,0.326921322,1.033333333,N,0.966666667
54,4,0.694444444,123.0257979,122.1816795,1.006908714,1.233333333,A,1.266666667
55,0,1,6.422150827,16.68853951,0.384824018,1.216666667,N,1.066666667
56,1,1,6.035282751,16.05975352,0.375801705,1.456587966,N,4.398324448
57,4,1,4.729515225,4.981908671,0.949338002,1.3,N,1.333333333
58,0,0.950819672,31.69440793,57.3162523,0.552974185,1.033333333,N,3.1
59,0,1,8.70260916,19.48154407,0.446710442,0.966666667,N,3.033333333
60,89,0.97752809,70.93611891,91.99033454,0.771125785,3,N,0.6
61,0,0.032258065,130.0038224,282.1951977,0.460687579,1.066666667,N,1.933333333
62,0,0.92,12.24744871,60.04499342,0.203971189,1.483453785,N,0.627615063
63,1,0.931034483,13.66379387,35.64944511,0.383282091,1,N,1.033333333
64,5,0.323529412,181.4466743,122.706487,1.478704825,1.166666667,A,0.6
65,0,0.423076923,49.00213147,77.22774401,0.634514605,0.9,N,0.9
66,1,0.945205479,63.98700866,83.81954353,0.763390087,1.22814782,N,1.22814782
67,6,1,13.37253834,58.88027648,0.227114055,1.15,N,1.116666667
68,0,0.5625,94.40921449,168.9289405,0.558869393,1.032110092,N,0.781901585
69,1,1,4.677896541,22.03938674,0.212251665,1.066666667,N,1.133333333
70,1,0.181818182,278.0985377,282.6278652,0.983974236,1.133333333,N,0.866666667
71,1,0.407407407,33.76593057,144.7781635,0.2332253,0.933333333,N,0.866666667
72,1,1,8.675557972,31.03388536,0.279551138,1.119402985,N,3.448971359
73,11,0.111111111,330.4421274,214.9653484,1.537187876,1.533333333,N,0.933333333
74,0,0.84375,66.3597688,98.80725844,0.671608239,1.1,N,2.3
75,0,0.777777778,25.83595775,86.85521328,0.297460069,1.330798479,N,1.330798479
76,4,0.807692308,21.87520159,52.01281893,0.420573275,1.174934726,N,0.957354221
77,3,1,11.12248646,22.09250334,0.503450709,1.266666667,N,2.566666667
78,1,0.952380952,77.49008197,44.98712737,1.722494556,1.433333333,N,2.933333333
79,22,0.976744186,99.82335116,101.021178,0.988142814,1.466666667,N,1.1
80,0,1,7.310380973,17.90116876,0.408374507,1.033333333,N,1.066666667
81,2,0.903225806,185.2567288,173.0290955,1.070668076,1.039636127,N,0.974658869
82,9,0.820512821,103.5503188,113.6678297,0.910990551,1.333333333,N,1.266666667
83,0,0.222222222,420.4867096,372.1646702,1.12984048,0.933333333,A,2.2
84,0,0.641025641,157.0867729,92.44215747,1.699297996,1.333333333,N,1.333333333
85,3,0.365853659,188.5816118,160.682561,1.173628368,1.4,A,4.233333333
86,0,0.868421053,25.48753576,77.27960275,0.329809353,1.3,N,1.433333333
87,0,0.258064516,306.5690364,295.3439196,1.038006934,1.193732902,N,0.895299677
88,0,0.52,16.90455231,67.80025811,0.249328731,0.866666667,N,0.9
89,1,0.636363636,75.02050501,108.533444,0.691220165,1.133333333,N,1.133333333
90,0,0.885714286,20.82231543,44.20606608,0.471028464,1.2,N,1.266666667
91,0,0.4,57.97020112,215.0867008,0.269520156,0.85,N,3.316666667
92,0,0.939393939,81.87261447,51.9111738,1.577167467,1.133333333,N,1.2
93,0,0.101449275,159.99997,245.2853206,0.652301449,1.166666667,N,1.033333333
94,5,0.939393939,77.84669179,126.8063708,0.613902056,1.133333333,N,0.7
95,1,1,7.531756776,30.84570058,0.244175254,1.5,N,1.533333333
96,0,0.769230769,140.5827033,64.6595364,2.17419906,1.333333333,N,5.333333333
97,0,0.878787879,18.42175057,63.17238149,0.29161083,1.133333333,N,0.966666667
98,0,1,2.159391864,7.175846083,0.300925053,1.222244856,N,1.252800978
